Time [s],Strain,Stress [MPa],Displacement [nm],Load [mN]
11.95,0.01001372,111.1193708,57.07820388,0.655210397
12,0.010285746,113.5131205,58.62875235,0.669325036
12.05,0.010212969,112.5101951,58.21392115,0.663411331
12.1,0.010354094,112.5864375,59.01833472,0.663860891
12.15,0.010222851,112.4713984,58.27025339,0.663182568
12.2,0.010338807,111.5110274,58.93119943,0.657519783
12.25,0.010482658,111.7129175,59.75115211,0.658710219
12.3,0.010347295,112.7622711,58.97958092,0.664897686
12.35,0.010365363,114.8919164,59.08256792,0.677455044
12.4,0.010519286,116.2327558,59.9599325,0.685361243
12.45,0.010413449,116.1299636,59.35665853,0.684755134
12.5,0.010681336,119.7058758,60.88361703,0.70584034
12.55,0.010673861,119.3662443,60.84101024,0.703837718
12.6,0.010670723,119.1971402,60.82311835,0.702840603
12.65,0.010623369,119.6841213,60.55320375,0.705712065
12.7,0.010679469,120.3301386,60.87297089,0.709521278
12.75,0.010773251,121.8841567,61.40753196,0.718684476
12.8,0.010950201,122.4894412,62.41614601,0.722253509
12.85,0.01089216,123.9336823,62.0853116,0.730769412
12.9,0.010775561,113.0486694,61.42069836,0.66658642
12.95,0.010907266,112.6173018,62.17141879,0.664042881
13,0.010821036,114.6850727,61.6799074,0.676235399
13.05,0.010952696,115.6848377,62.43036468,0.682130469
13.1,0.010959003,116.6630349,62.46631847,0.687898365
13.15,0.011141814,120.359072,63.50834079,0.709691882
13.2,0.011105552,119.5175664,63.3016489,0.704729982
13.25,0.011112754,119.0320564,63.34269708,0.701867194
13.3,0.011246731,119.3487037,64.10636919,0.703734291
13.35,0.011276211,125.3641279,64.27440059,0.739203971
13.4,0.01127738,129.0465035,64.2810678,0.760916933
13.45,0.011277413,128.5642684,64.28125375,0.758073455
13.5,0.011123733,127.1835665,63.40527538,0.749932208
13.55,0.011446658,132.0450234,65.24594947,0.778597572
13.6,0.011475347,132.8799387,65.40947586,0.783520612
13.65,0.011543799,133.7276629,65.79965415,0.78851918
13.7,0.011515092,133.5326309,65.6360251,0.787369183
13.75,0.0116768,135.0249878,66.55776207,0.796168799
13.8,0.01184859,137.0666758,67.53696577,0.80820752
13.85,0.011867334,138.9634154,67.64380531,0.819391561
13.9,0.011856246,125.2069327,67.58060003,0.738277076
13.95,0.011657681,122.5151651,66.4487792,0.722405189
14,0.011909789,124.986001,67.88579988,0.736974362
14.05,0.011917165,125.0972015,67.92784004,0.737630051
14.1,0.011952975,126.0728407,68.1319571,0.743382864
14.15,0.011916578,126.2046402,67.92449407,0.744160013
14.2,0.01205337,126.6883076,68.70420837,0.747011937
14.25,0.012021347,127.6959789,68.52167547,0.752953625
14.3,0.012056434,126.8356377,68.72167603,0.747880662
14.35,0.012120533,133.7862115,69.08704072,0.788864409
14.4,0.01201464,140.5866047,68.48344535,0.828962624
14.45,0.012177807,140.7814412,69.41349797,0.830111468
14.5,0.012357683,145.7364363,70.4387949,0.859328375
14.55,0.012375409,144.5208942,70.539833,0.852160986
14.6,0.012417994,145.3340672,70.7825652,0.856955824
14.65,0.012371446,145.0781104,70.51724367,0.855446586
14.7,0.012357084,144.7890945,70.43537806,0.853742417
14.75,0.012449894,146.71089,70.96439425,0.865074198
14.8,0.012502282,146.6460403,71.26300818,0.864691814
14.85,0.012474427,149.9974375,71.10423624,0.884453178
14.9,0.012675291,143.0447886,72.24915633,0.843457195
14.95,0.012593192,140.9819574,71.78119245,0.831293803
15,0.012535239,141.6609563,71.45086046,0.835297489
15.05,0.012793507,145.1126353,72.92299181,0.85565016
15.1,0.012765825,144.5500584,72.76520215,0.852332951
15.15,0.012901719,145.3797222,73.53979865,0.857225027
15.2,0.012860967,145.8616456,73.30751212,0.860066666
15.25,0.012783305,144.8609681,72.864837,0.854166216
15.3,0.012888,145.2165074,73.4616025,0.856262638
15.35,0.012913426,150.9841823,73.60652647,0.890271475
15.4,0.013057031,151.8751779,74.42507841,0.89552519
15.45,0.013081654,151.8717374,74.56542705,0.895504903
15.5,0.013058885,151.0853044,74.43564288,0.890867737
15.55,0.013057206,152.3098557,74.42607323,0.898088248
15.6,0.013203558,154.8838219,75.26028137,0.913265525
15.65,0.013237359,154.2704162,75.45294451,0.909648606
15.7,0.013298078,155.0093129,75.79904485,0.914005477
15.75,0.013248685,155.1313652,75.51750518,0.914725153
15.8,0.013207655,155.9265941,75.28363331,0.919414184
15.85,0.013405398,159.3156818,76.41076603,0.939397788
